# Family Xorddos
/boot/ftrnncnlir: 1
/boot/pxqgyrrbzu: 1
/boot/nkoyupuxpx: 1
/boot/kyjfilcrnq: 1
/boot/bthcxsfqan: 1
/boot/ksxexbvwow: 1
/boot/qrwzvycybx: 1
/boot/vxcezwunnx: 1
/boot/iswqwsprgu: 1
/boot/iphpevdezt: 1
/etc/rc1.d/S90kyjfilcrnq: 1
/etc/init.d/kyjfilcrnq: 1
/boot/eirlnrbbue: 1
/boot/tljpweugni: 1
/boot/rsztkcqmag: 1
/boot/gvqambdbei: 1
/etc/rc4.d/S90kyjfilcrnq: 1
/boot/qizzmavgpl: 1
/boot/fzmicupinj: 1
/boot/fykepenmvn: 1
/boot/lxwrjfjxtp: 1
/boot/frdsmulhvu: 1
/boot/kkxlhyzfmp: 1
/etc/rc.d/rc3.d/S90kyjfilcrnq: 1
/etc/rc.d/rc5.d/S90kyjfilcrnq: 1
/boot/hbzgcgpgrl: 1
/boot/pzjfoxtpmb: 1
/boot/devawlqrit: 1
/boot/bfrslsgovx: 1
/boot/ntoxzawllo: 1
/boot/vyvkjlvhjo: 1
/boot/thpglxqmwg: 1
/boot/gsazlzmhjl: 1
/boot/qwbtvcwluv: 1
/etc/init.d/snvtbclyfv: 1
/boot/dkuxoxzdvw: 1
/boot/mdevbmlkex: 1
/boot/xgznnfbfof: 1
/etc/rc.d/rc3.d/S90snvtbclyfv: 1
/boot/vmckxiaxks: 1
/boot/dqytihemwc: 1
/boot/bdcrpiriwz: 1
/boot/wqrihpmrjx: 1
/boot/iaspwxfuit: 1
/boot/zykaskpelj: 1
/boot/xudgpqbyar: 1
/boot/kzofcedccp: 1
/boot/ykyzzyoaew: 1
/boot/sktpqzvfrl: 1
/boot/umysohfcqi: 1
/boot/xzehefsxew: 1
/boot/blxjffltlc: 1
/etc/rc.d/rc5.d/S90snvtbclyfv: 1
/boot/lmuxyhgtat: 1
/boot/litomyzpqu: 1
/etc/rc4.d/S90snvtbclyfv: 1
/etc/rc.d/rc4.d/S90snvtbclyfv: 1
/boot/hjrjbeizdo: 1
/boot/hdzyzvfbhr: 1
/boot/kxntuvgtsl: 1
/boot/snvtbclyfv: 1
/boot/ouoyxtkggi: 1
/boot/zyzerygslo: 1
/boot/ttqmeqsmit: 1
/boot/sfrwfmqtae: 1
/boot/xmbophtpei: 1
/boot/jbrkqpnfti: 1
/boot/ozvfqsoicp: 1
/etc/rc2.d/S90snvtbclyfv: 1
/boot/ixsalxqgqa: 1
/boot/yjshgpnxkw: 1
/boot/oerwoiwtlu: 1
/boot/xswfxgfzqk: 1
/boot/fihujaljzk: 1
/etc/rc1.d/S90snvtbclyfv: 1
/boot/wxcgragaor: 1
/boot/ognrbywlyc: 1
/boot/ukvfvgwcwd: 1
/etc/rc.d/rc1.d/S90snvtbclyfv: 1
/boot/khyuccqbgf: 1
/etc/rc5.d/S90snvtbclyfv: 1
/boot/ckdnwskgvx: 1
/boot/aypfaspwzk: 1
/etc/rc3.d/S90snvtbclyfv: 1
/boot/lmrwyqfnip: 1
/boot/gahmenjdkb: 1
/boot/mfwvefaorc: 1
/boot/jvnekaykbs: 1
/boot/egcnhtdezy: 1
/boot/efnlygebho: 1
/boot/uqzlqqdpji: 1
/boot/hytklhcouj: 1
/boot/fikfhtnuxj: 1
/boot/vfuvypdbqb: 1
/boot/nivmoaaxsp: 1
/boot/aamdrzyrpx: 1
/boot/acrkhzscww: 1
/boot/lyiukknusn: 1
/etc/rc.d/rc2.d/S90snvtbclyfv: 1
/boot/iqdfmdnzaz: 1
/usr/bin/qhepksfqrs: 1
/bin/dgwiycnetz: 1
/tmp/pcsodzmaxl: 1
/bin/xumqzepgbm: 1
/bin/ccgpdqdvii: 1
/usr/bin/zaetycwxdn: 1
/bin/cdgbmhmcgp: 1
/tmp/iwbnrmpsje: 1
/usr/bin/ofvwajgjxo: 1
/bin/rghkzyjsyf: 1
/tmp/zpphtwmond: 1
/bin/zhuiecojnw: 1
/bin/pkloafwerg: 1
/bin/wrumxftgqf: 1
/tmp/rlgsxgkiyh: 1
/bin/qdwwepieos: 1
/usr/bin/oayatyuwvq: 1
/etc/rc.d/rc1.d/S90hovvssksho: 1
/usr/bin/fmhwchzjge: 1
/usr/bin/fodbvdnhsn: 1
/bin/dzbdkvgonp: 1
/usr/bin/wdbqidxnlr: 1
/tmp/ccgpdqdvii: 1
/tmp/ofifypeyyx: 1
/tmp/icscqudtht: 1
/bin/mzobtkbctv: 1
/tmp/pilgcuanld: 1
/usr/bin/jywtbxmvbj: 1
/tmp/kjtctkyegh: 1
/usr/bin/rfdxiikjzf: 1
/bin/ofvwajgjxo: 1
/bin/wahpbpzusu: 1
/etc/rc.d/rc4.d/S90hovvssksho: 1
/tmp/ofvwajgjxo: 1
