step,src_node,type,deg,edge,dst_node,type,deg,importance
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,read,NIC,net,1,0
201,1526,proc,16,read,NIC,net,1,0
201,1526,proc,16,read,NIC,net,1,0
201,1526,proc,16,read,NIC,net,1,0
201,1526,proc,16,read,NIC,net,1,0
201,1526,proc,16,read,NIC,net,1,0
201,1526,proc,16,read,NIC,net,1,0
201,1526,proc,16,read,NIC,net,1,0
201,1526,proc,16,read,NIC,net,1,0
201,1526,proc,16,read,NIC,net,1,0
201,1526,proc,16,connect,23.236.66.13:50050,net,6,1
201,1526,proc,16,_newselect,23.236.66.13:50050,net,6,0
201,1526,proc,16,getsockopt,23.236.66.13:50050,net,6,0
201,1526,proc,16,fstat64,23.236.66.13:50050,net,6,0
201,1526,proc,16,mmap2,23.236.66.13:50050,net,6,1
201,1526,proc,16,nanosleep,Sleep Duration,other,2,0
201,1526,proc,16,connect,23.236.66.13:50050,net,6,1
201,1526,proc,16,_newselect,23.236.66.13:50050,net,6,0
201,1526,proc,16,getsockopt,23.236.66.13:50050,net,6,0
201,1526,proc,16,nanosleep,Sleep Duration,other,2,0
201,1526,proc,16,connect,23.236.66.13:50050,net,6,1
201,1526,proc,16,_newselect,23.236.66.13:50050,net,6,0
201,1526,proc,16,getsockopt,23.236.66.13:50050,net,6,0
201,1526,proc,16,nanosleep,Sleep Duration,other,2,0
201,1526,proc,16,connect,23.236.66.13:50050,net,6,1
