EntityType,ActionType,Source,Syscall,EnVerb,Sentence
FILE,UPDATE,man,renameat(),moving,
FILE,UPDATE,man,renameat(),change,
FILE,UPDATE,man,renameat2(),rename,
FILE,UPDATE,man,renameat2(),moving,
FILE,UPDATE,man,renameat2(),change,
FILE,UPDATE,man,sync(),commit,
FILE,UPDATE,man,truncate(),truncate,
FILE,UPDATE,man,truncate64(),truncate,
FILE,UPDATE,man,utime(),change,
FILE,UPDATE,man,utimensat(),change,
FILE,UPDATE,man,utimes(),change,
FILE,UPDATE,man,write(),write,
FILE,UPDATE,man,writev(),write,
FILE,WAIT,man,poll(),wait for,
FILE,WAIT,man,poll(),monitor,
FILE,WAIT,man,poll(),block,
FILE,WAIT,man,ppoll(),wait for,
FILE,WAIT,man,ppoll(),monitor,
FILE,WAIT,man,ppoll(),block,
ID,ID_GET,man,getegid(),get,
ID,ID_GET,man,getegid32(),get,
ID,ID_GET,man,geteuid(),get,
ID,ID_GET,man,geteuid32(),get,
ID,ID_GET,man,getgid(),get,
ID,ID_GET,man,getgid32(),get,
ID,ID_GET,man,getgroups(),get,
ID,ID_GET,man,getgroups32(),get,
ID,ID_GET,man,getpgid(),get,
ID,ID_GET,man,getpgrp(),get,
ID,ID_GET,man,getpgrp(),retrieve,
ID,ID_GET,man,getpid(),get,
ID,ID_GET,man,getppid(),get,
ID,ID_GET,man,getresgid(),get,
ID,ID_GET,man,getresgid32(),get,
ID,ID_GET,man,getresuid(),get,
ID,ID_GET,man,getresuid32(),get,
ID,ID_GET,man,getsid(),get,
ID,ID_GET,man,gettid(),get,
ID,ID_GET,man,getuid(),get,
ID,ID_GET,man,getuid32(),get,
ID,ID_SET,man,setfsgid(),set,
ID,ID_SET,man,setfsgid32(),set,
ID,ID_SET,man,setfsuid(),set,
ID,ID_SET,man,setfsuid32(),set,
ID,ID_SET,man,setgid(),set,
ID,ID_SET,man,setgid32(),set,
ID,ID_SET,man,setgroups(),set,
ID,ID_SET,man,setgroups32(),set,
ID,ID_SET,man,setpgid(),set,
ID,ID_SET,man,setregid(),set,
ID,ID_SET,man,setregid32(),set,
ID,ID_SET,man,setresgid(),set,
ID,ID_SET,man,setresgid32(),set,
ID,ID_SET,man,setresuid(),set,
ID,ID_SET,man,setresuid32(),set,
ID,ID_SET,man,setreuid(),set,
ID,ID_SET,man,setreuid32(),set,
ID,ID_SET,man,setsid(),set,
ID,ID_SET,man,setsid(),create,
ID,ID_SET,man,setuid(),set,
ID,ID_SET,man,setuid32(),set,
INFO,INFO_GET,man,get_kernel_syms(),retrieve,
INFO,INFO_GET,man,getcpu(),identify,
INFO,INFO_GET,man,getcpu(),determine,
INFO,INFO_GET,man,getpriority(),get,
INFO,INFO_GET,man,getrlimit(),get,
INFO,INFO_GET,man,getrusage(),get,
INFO,INFO_GET,man,ipc(),communicate with,
INFO,INFO_GET,man,kexec_file_load(),read,
INFO,INFO_GET,man,kexec_file_load(),load,
INFO,INFO_GET,man,kexec_load(),load,
INFO,INFO_GET,man,madvise(),give,
INFO,INFO_GET,man,msgget(),get,
INFO,INFO_GET,man,msgget(),obtain,
INFO,INFO_GET,man,msgget(),create,
INFO,INFO_GET,man,oldolduname(),get,
INFO,INFO_GET,man,olduname(),get,
INFO,INFO_GET,man,prlimit64(),get,
INFO,INFO_GET,man,request_key(),request,
INFO,INFO_GET,man,request_key(),find,
INFO,INFO_GET,man,request_key(),search for,
INFO,INFO_GET,man,sched_get_priority_max(),get,
INFO,INFO_GET,man,sched_get_priority_min(),get,
INFO,INFO_GET,man,semget(),get,
INFO,INFO_GET,man,semget(),obtain,
INFO,INFO_GET,man,semget(),create,
INFO,INFO_GET,man,sysinfo(),return,
INFO,INFO_GET,man,syslog(),set,
INFO,INFO_GET,man,syslog(),clear,
INFO,INFO_GET,man,syslog(),read,
INFO,INFO_GET,man,ugetrlimit(),get,
INFO,INFO_GET,man,uname(),get,
INFO,INFO_GET,man,ustat(),get,
INFO,INFO_SET,man,_sysctl(),write,
INFO,INFO_SET,man,_sysctl(),read,
INFO,INFO_SET,man,add_key(),update,
INFO,INFO_SET,man,add_key(),create,
INFO,INFO_SET,man,add_key(),add,
INFO,INFO_SET,man,add_key(),attach,
INFO,INFO_SET,man,add_key(),instantiate,
INFO,INFO_SET,man,keyctl(),manipulate,
INFO,INFO_SET,man,perf_event_open(),set up,
INFO,INFO_SET,man,perf_event_open(),create,
INFO,INFO_SET,man,setdomainname(),set,
INFO,INFO_SET,man,setdomainname(),change,
INFO,INFO_SET,man,sethostname(),set,
INFO,INFO_SET,man,sethostname(),change,
INFO,INFO_SET,man,setpriority(),set,
INFO,INFO_SET,man,setrlimit(),set,
INFO,INFO_SET,man,shmctl(),share,
MEM,MEM,man,arch_prctl(),set,
MEM,MEM,man,brk(),set,
MEM,MEM,man,brk(),change,
MEM,MEM,man,futex(),wait,
MEM,MEM,man,futex(),wake,
MEM,MEM,man,futex(),lock,
MEM,MEM,man,get_mempolicy(),retrieve,
MEM,MEM,man,mbind(),set,
MEM,MEM,man,membarrier(),issue,
MEM,MEM,man,mlock(),lock,
MEM,MEM,man,mlock2(),lock,
MEM,MEM,man,mlockall(),lock,
MEM,MEM,man,mprotect(),set,
MEM,MEM,man,mremap(),remap,
MEM,MEM,man,mremap(),expand,
MEM,MEM,man,munlock(),unlock,
MEM,MEM,man,munlockall(),unlock,
MEM,MEM,man,pkey_mprotect(),set,
MEM,MEM,man,pkey_mprotect(),change,
MEM,MEM,man,set_mempolicy(),set,
MEM,MEM,man,set_robust_list(),set,
MEM,MEM,man,set_thread_area(),set,
MEM,MEM,man,set_tid_address(),set,
MEM,MEM,man,shmat(),attach,
MEM,MEM,man,shmdt(),detach,
MEM,MEM,man,shmget(),allocate,
NET,NET_CLOSE,man,mq_unlink(),remove,
NET,NET_CLOSE,man,shutdown(),shut down,
NET,NET_CONNECT,man,accept(),creates,
NET,NET_CONNECT,man,accept(),accept,
NET,NET_CONNECT,man,accept4(),creates,
NET,NET_CONNECT,man,accept4(),accept,
NET,NET_CONNECT,man,bind(),assign,
NET,NET_CONNECT,man,bind(),bind,
NET,NET_CONNECT,man,connect(),initiate,
NET,NET_CONNECT,man,connect(),connect,
NET,NET_CONNECT,man,mq_notify(),unregister for,
NET,NET_CONNECT,man,mq_notify(),register for,
NET,NET_CONNECT,man,mq_open(),open,
NET,NET_CONNECT,man,mq_open(),create,
NET,NET_CONNECT,man,pipe(),create,
NET,NET_CONNECT,man,pipe2(),create,
NET,NET_CONNECT,man,socket(),create,
NET,NET_CONNECT,man,socketpair(),create,
NET,NET_OPTION,man,getpeername(),get,
NET,NET_OPTION,man,getsockname(),get,
NET,NET_OPTION,man,getsockopt(),get,
NET,NET_OPTION,man,getsockopt(),manipulate,
NET,NET_OPTION,man,mq_getsetattr(),modify,
NET,NET_OPTION,man,mq_getsetattr(),get,
NET,NET_OPTION,man,mq_getsetattr(),retrieve,
NET,NET_OPTION,man,mq_getsetattr(),set,
NET,NET_OPTION,man,setsockopt(),set,
NET,NET_OPTION,man,setsockopt(),manipulate,
NET,NET_TRANSMIT,man,listen(),listen for,
NET,NET_TRANSMIT,man,mq_timedreceive(),receive,
NET,NET_TRANSMIT,man,mq_timedsend(),send,
