step,src_node,type,deg,edge,dst_node,type,deg,importance,tactic
434,1526,proc,17,open,/dev/urandom,file,2,1
435,1526,proc,17,read,/dev/urandom,file,2,0
436,1526,proc,17,open,/dev/urandom,file,2,1
437,1526,proc,17,read,/dev/urandom,file,2,0
438,1526,proc,17,open,/dev/urandom,file,2,1
439,1526,proc,17,read,/dev/urandom,file,2,0
440,1526,proc,17,open,/dev/urandom,file,2,1
441,1526,proc,17,read,/dev/urandom,file,2,0
442,1526,proc,17,open,/dev/urandom,file,2,1
443,1526,proc,17,read,/dev/urandom,file,2,0
444,1526,proc,17,open,/dev/urandom,file,2,1
445,1526,proc,17,read,/dev/urandom,file,2,0
446,1526,proc,17,open,/dev/urandom,file,2,1
447,1526,proc,17,read,/dev/urandom,file,2,0
448,1526,proc,17,open,/dev/urandom,file,2,1
449,1526,proc,17,read,/dev/urandom,file,2,0
450,1526,proc,17,open,/dev/urandom,file,2,1
451,1526,proc,17,read,/dev/urandom,file,2,0
452,1526,proc,17,open,/dev/urandom,file,2,1
453,1526,proc,17,read,/dev/urandom,file,2,0
454,1526,proc,17,open,/dev/urandom,file,2,1
455,1526,proc,17,read,/dev/urandom,file,2,0
456,1526,proc,17,open,/dev/urandom,file,2,1
457,1526,proc,17,read,/dev/urandom,file,2,0
458,1526,proc,17,open,/dev/urandom,file,2,1
459,1526,proc,17,read,/dev/urandom,file,2,0
460,1526,proc,17,open,/dev/urandom,file,2,1
461,1526,proc,17,read,/dev/urandom,file,2,0
462,1526,proc,17,open,/dev/urandom,file,2,1
463,1526,proc,17,read,/dev/urandom,file,2,0
464,1526,proc,17,open,/dev/urandom,file,2,1
465,1526,proc,17,read,/dev/urandom,file,2,0
466,1526,proc,17,open,/dev/urandom,file,2,1
467,1526,proc,17,read,/dev/urandom,file,2,0
468,1526,proc,17,open,/dev/urandom,file,2,1
469,1526,proc,17,read,/dev/urandom,file,2,0
470,1526,proc,17,open,/dev/urandom,file,2,1
471,1526,proc,17,read,/dev/urandom,file,2,0
472,1526,proc,17,open,/dev/urandom,file,2,1
473,1526,proc,17,read,/dev/urandom,file,2,0
474,1526,proc,17,open,/dev/urandom,file,2,1
475,1526,proc,17,read,/dev/urandom,file,2,0
476,1526,proc,17,open,/dev/urandom,file,2,1
477,1526,proc,17,read,/dev/urandom,file,2,0
478,1526,proc,17,open,/dev/urandom,file,2,1
479,1526,proc,17,read,/dev/urandom,file,2,0
480,1526,proc,17,open,/dev/urandom,file,2,1
481,1526,proc,17,read,/dev/urandom,file,2,0
482,1526,proc,17,open,/dev/urandom,file,2,1
483,1526,proc,17,read,/dev/urandom,file,2,0
484,1526,proc,17,open,/dev/urandom,file,2,1
